split,seed,score_source,allocation,decision,budget,system_budget_per_hour,mechanical_budget_per_hour,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Position.X,54,2,0.037037037037037035,5,0.9378571405555555,5.331302374088836,20.524343499999993,27.02733099999999
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Position.Y,55,0,0.0,2,1.0971975144444444,1.8228258573960416,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Actuator Controls,16,4,0.25,7,0.5049052622222222,13.863987016477388,9.257424749999984,20.962381999999934
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Actuator Outputs,25,3,0.12,10,0.7446180683333333,13.429703663225416,22.339021333333346,49.02531300000001
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Actuator Outputs+Controls,41,7,0.17073170731707318,15,1.206307534722222,12.43464006336831,14.86382328571428,49.02531300000001
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Position.X,54,16,0.2962962962962963,33,0.9378571405555555,35.186595668986314,23.247569062499977,44.07965100000001
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Position.Y,55,15,0.2727272727272727,44,1.0971975144444444,40.102168862712915,22.567953999999993,58.916042000000004
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Position.Z,113,0,0.0,2,1.4244670750000001,1.4040338559597805,,
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Velocity,2,1,0.5,0,0.0036470161111110933,0.0,27.027106000000003,27.027106000000003
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Actuator Outputs,25,0,0.0,3,0.7446180683333333,4.028911098967625,,
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Actuator Outputs+Controls,41,0,0.0,3,1.206307534722222,2.486928012673662,,
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Position.X,54,5,0.09259259259259259,11,0.9378571405555555,11.72886522299544,21.912615600000002,33.531859999999995
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Position.Y,55,0,0.0,10,1.0971975144444444,9.114129286980209,,
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Position.Z,113,0,0.0,5,1.4244670750000001,3.510084639899451,,
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,advisory,10.0,2.0,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,advisory,10.0,2.0,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,advisory,10.0,2.0,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,advisory,10.0,2.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,advisory,10.0,2.0,Battery,2,0,0.0,1,0.06345890611111113,15.758229400442001,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,advisory,10.0,2.0,Position.X,54,3,0.05555555555555555,5,0.9378571405555555,5.331302374088836,14.35645733333333,27.02733099999999
split_00,0,channel_union,agirlikli_sistem,k_of_n,advisory,10.0,2.0,Position.Y,55,0,0.0,5,1.0971975144444444,4.557064643490104,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,advisory,10.0,2.0,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,advisory,10.0,2.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Actuator Controls,16,1,0.0625,15,0.5049052622222222,29.708543606737262,1.0198860000000423,1.0198860000000423
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Actuator Outputs,25,9,0.36,17,0.7446180683333333,22.83049622748321,11.215486444444444,27.074017999999995
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Actuator Outputs+Controls,41,10,0.24390243902439024,30,1.206307534722222,24.86928012673662,10.195926400000005,27.074017999999995
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Position.X,54,27,0.5,77,0.9378571405555555,82.10205656096808,15.46269914814814,39.08921699999996
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Position.Y,55,31,0.5636363636363636,91,1.0971975144444444,82.9385765115199,12.319544935483872,36.97577600000001
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Position.Z,113,2,0.017699115044247787,8,1.4244670750000001,5.616135423839122,16.521635500000002,33.043271000000004
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Velocity,2,2,1.0,1,0.0036470161111110933,274.1967596340949,23.527728499999967,38.001544999999965
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Position.X,54,2,0.037037037037037035,5,0.9378571405555555,5.331302374088836,20.524343499999993,27.02733099999999
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Position.Y,55,0,0.0,2,1.0971975144444444,1.8228258573960416,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Actuator Controls,16,3,0.1875,9,0.5049052622222222,17.825126164042356,5.327112999999959,13.028856999999903
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Actuator Outputs,25,4,0.16,11,0.7446180683333333,14.772674029547957,15.253435250000003,44.04442399999999
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Actuator Outputs+Controls,41,7,0.17073170731707318,18,1.206307534722222,14.921568076041972,10.999297142857127,44.04442399999999
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Position.X,54,14,0.25925925925925924,35,0.9378571405555555,37.319116618621855,28.87922985714284,51.084812
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Position.Y,55,13,0.23636363636363636,45,1.0971975144444444,41.013581791410935,19.461973999999998,50.97184200000004
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Position.Z,113,0,0.0,3,1.4244670750000001,2.1060507839396707,,
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Velocity,2,1,0.5,0,0.0036470161111110933,0.0,33.02471700000001,33.02471700000001
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Actuator Outputs,25,0,0.0,3,0.7446180683333333,4.028911098967625,,
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Actuator Outputs+Controls,41,0,0.0,3,1.206307534722222,2.486928012673662,,
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Position.X,54,5,0.09259259259259259,11,0.9378571405555555,11.72886522299544,21.912615600000002,33.531859999999995
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Position.Y,55,0,0.0,12,1.0971975144444444,10.936955144376249,,
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Position.Z,113,0,0.0,6,1.4244670750000001,4.212101567879341,,
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,dengeli,k_of_n,advisory,8.0,4.0,Actuator Controls,16,8,0.5,10,0.5049052622222222,19.80569573782484,1.2561983749999968,3.042353999999989
split_00,0,channel_union,dengeli,k_of_n,advisory,8.0,4.0,Actuator Outputs,25,13,0.52,15,0.7446180683333333,20.144555494838123,6.166084769230766,37.030945
split_00,0,channel_union,dengeli,k_of_n,advisory,8.0,4.0,Actuator Outputs+Controls,41,21,0.5121951219512195,24,1.206307534722222,19.895424101389295,4.295651857142854,37.030945
split_00,0,channel_union,dengeli,k_of_n,advisory,8.0,4.0,Actuator Thrust,2,1,0.5,0,0.06510427361111108,0.0,1.928959999999961,1.928959999999961
split_00,0,channel_union,dengeli,k_of_n,advisory,8.0,4.0,Battery,2,0,0.0,1,0.06345890611111113,15.758229400442001,,
split_00,0,channel_union,dengeli,k_of_n,advisory,8.0,4.0,Position.X,54,6,0.1111111111111111,11,0.9378571405555555,11.72886522299544,15.022913833333332,29.95837999999999
split_00,0,channel_union,dengeli,k_of_n,advisory,8.0,4.0,Position.Y,55,2,0.03636363636363636,15,1.0971975144444444,13.671193930470311,22.973523000000014,37.999277000000035
split_00,0,channel_union,dengeli,k_of_n,advisory,8.0,4.0,Position.Z,113,1,0.008849557522123894,22,1.4244670750000001,15.444372415557584,3.9614910000000094,3.9614910000000094
split_00,0,channel_union,dengeli,k_of_n,advisory,8.0,4.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,dengeli,cusum,advisory,8.0,4.0,Actuator Controls,16,5,0.3125,18,0.5049052622222222,35.65025232808471,4.581550200000004,10.983381000000008
split_00,0,channel_union,dengeli,cusum,advisory,8.0,4.0,Actuator Outputs,25,9,0.36,28,0.7446180683333333,37.60317025703117,9.912981333333342,20.968072000000006
split_00,0,channel_union,dengeli,cusum,advisory,8.0,4.0,Actuator Outputs+Controls,41,14,0.34146341463414637,43,1.206307534722222,35.64596818165582,8.008898785714292,20.968072000000006
split_00,0,channel_union,dengeli,cusum,advisory,8.0,4.0,Actuator Thrust,2,2,1.0,0,0.06510427361111108,0.0,2.9948454999999967,3.0440260000000308
split_00,0,channel_union,dengeli,cusum,advisory,8.0,4.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,dengeli,cusum,advisory,8.0,4.0,Position.X,54,25,0.46296296296296297,82,0.9378571405555555,87.43335893505692,15.102347359999992,41.066805999999985
split_00,0,channel_union,dengeli,cusum,advisory,8.0,4.0,Position.Y,55,31,0.5636363636363636,96,1.0971975144444444,87.49564115500999,11.931592516129031,39.003742999999986
split_00,0,channel_union,dengeli,cusum,advisory,8.0,4.0,Position.Z,113,3,0.02654867256637168,14,1.4244670750000001,9.828236991718462,13.65479666666666,35.07483500000001
split_00,0,channel_union,dengeli,cusum,advisory,8.0,4.0,Velocity,2,2,1.0,1,0.0036470161111110933,274.1967596340949,23.527728499999967,38.001544999999965
split_00,0,channel_union,esit,threshold,critical,1.0,1.0,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,esit,threshold,critical,1.0,1.0,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,channel_union,esit,threshold,critical,1.0,1.0,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,channel_union,esit,threshold,critical,1.0,1.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,esit,threshold,critical,1.0,1.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,esit,threshold,critical,1.0,1.0,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,channel_union,esit,threshold,critical,1.0,1.0,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
split_00,0,channel_union,esit,threshold,critical,1.0,1.0,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,channel_union,esit,threshold,critical,1.0,1.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,esit,k_of_n,critical,1.0,1.0,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,esit,k_of_n,critical,1.0,1.0,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,channel_union,esit,k_of_n,critical,1.0,1.0,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,channel_union,esit,k_of_n,critical,1.0,1.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,esit,k_of_n,critical,1.0,1.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,esit,k_of_n,critical,1.0,1.0,Position.X,54,2,0.037037037037037035,5,0.9378571405555555,5.331302374088836,20.524343499999993,27.02733099999999
split_00,0,channel_union,esit,k_of_n,critical,1.0,1.0,Position.Y,55,0,0.0,2,1.0971975144444444,1.8228258573960416,,
split_00,0,channel_union,esit,k_of_n,critical,1.0,1.0,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,channel_union,esit,k_of_n,critical,1.0,1.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,esit,cusum,critical,1.0,1.0,Actuator Controls,16,3,0.1875,8,0.5049052622222222,15.844556590259872,6.918583999999991,9.967937000000006
split_00,0,channel_union,esit,cusum,critical,1.0,1.0,Actuator Outputs,25,5,0.2,12,0.7446180683333333,16.1156443958705,16.0282914,40.08121600000001
split_00,0,channel_union,esit,cusum,critical,1.0,1.0,Actuator Outputs+Controls,41,8,0.1951219512195122,18,1.206307534722222,14.921568076041972,12.612151124999997,40.08121600000001
split_00,0,channel_union,esit,cusum,critical,1.0,1.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,esit,cusum,critical,1.0,1.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,esit,cusum,critical,1.0,1.0,Position.X,54,15,0.2777777777777778,30,0.9378571405555555,31.987814244533016,37.66638199999999,77.12875600000001
split_00,0,channel_union,esit,cusum,critical,1.0,1.0,Position.Y,55,19,0.34545454545454546,34,1.0971975144444444,30.988039575732707,14.90610710526316,63.92188300000004
split_00,0,channel_union,esit,cusum,critical,1.0,1.0,Position.Z,113,0,0.0,3,1.4244670750000001,2.1060507839396707,,
split_00,0,channel_union,esit,cusum,critical,1.0,1.0,Velocity,2,1,0.5,0,0.0036470161111110933,0.0,41.96792900000003,41.96792900000003
split_00,0,channel_union,esit,threshold,advisory,6.0,6.0,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,esit,threshold,advisory,6.0,6.0,Actuator Outputs,25,0,0.0,3,0.7446180683333333,4.028911098967625,,
split_00,0,channel_union,esit,threshold,advisory,6.0,6.0,Actuator Outputs+Controls,41,0,0.0,3,1.206307534722222,2.486928012673662,,
split_00,0,channel_union,esit,threshold,advisory,6.0,6.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,esit,threshold,advisory,6.0,6.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,esit,threshold,advisory,6.0,6.0,Position.X,54,5,0.09259259259259259,11,0.9378571405555555,11.72886522299544,21.912615600000002,33.531859999999995
split_00,0,channel_union,esit,threshold,advisory,6.0,6.0,Position.Y,55,0,0.0,12,1.0971975144444444,10.936955144376249,,
split_00,0,channel_union,esit,threshold,advisory,6.0,6.0,Position.Z,113,0,0.0,10,1.4244670750000001,7.020169279798902,,
split_00,0,channel_union,esit,threshold,advisory,6.0,6.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,esit,k_of_n,advisory,6.0,6.0,Actuator Controls,16,7,0.4375,14,0.5049052622222222,27.727974032954776,1.2909657142857165,3.042353999999989
split_00,0,channel_union,esit,k_of_n,advisory,6.0,6.0,Actuator Outputs,25,12,0.48,24,0.7446180683333333,32.231288791741,3.009148583333335,6.005978999999968
split_00,0,channel_union,esit,k_of_n,advisory,6.0,6.0,Actuator Outputs+Controls,41,19,0.4634146341463415,35,1.206307534722222,29.01416014785939,2.376133842105265,6.005978999999968
split_00,0,channel_union,esit,k_of_n,advisory,6.0,6.0,Actuator Thrust,2,1,0.5,0,0.06510427361111108,0.0,1.928959999999961,1.928959999999961
split_00,0,channel_union,esit,k_of_n,advisory,6.0,6.0,Battery,2,0,0.0,2,0.06345890611111113,31.516458800884003,,
split_00,0,channel_union,esit,k_of_n,advisory,6.0,6.0,Position.X,54,6,0.1111111111111111,17,0.9378571405555555,18.126428071902044,14.870732499999995,29.95837999999999
split_00,0,channel_union,esit,k_of_n,advisory,6.0,6.0,Position.Y,55,3,0.05454545454545454,19,1.0971975144444444,17.316845645262394,12.369171333333336,24.07812800000002
split_00,0,channel_union,esit,k_of_n,advisory,6.0,6.0,Position.Z,113,2,0.017699115044247787,36,1.4244670750000001,25.272609407276047,1.9807455000000047,3.9614910000000094
split_00,0,channel_union,esit,k_of_n,advisory,6.0,6.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,esit,cusum,advisory,6.0,6.0,Actuator Controls,16,2,0.125,25,0.5049052622222222,49.5142393445621,1.47649100000001,1.9360510000000204
split_00,0,channel_union,esit,cusum,advisory,6.0,6.0,Actuator Outputs,25,8,0.32,38,0.7446180683333333,51.032873920256584,8.504400750000007,21.965652000000034
split_00,0,channel_union,esit,cusum,advisory,6.0,6.0,Actuator Outputs+Controls,41,10,0.24390243902439024,59,1.206307534722222,48.90958424924868,7.098818800000008,21.965652000000034
split_00,0,channel_union,esit,cusum,advisory,6.0,6.0,Actuator Thrust,2,0,0.0,2,0.06510427361111108,30.719949537362908,,
split_00,0,channel_union,esit,cusum,advisory,6.0,6.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,esit,cusum,advisory,6.0,6.0,Position.X,54,20,0.37037037037037035,58,0.9378571405555555,61.8431075394305,16.216507649999983,62.099672999999996
split_00,0,channel_union,esit,cusum,advisory,6.0,6.0,Position.Y,55,24,0.43636363636363634,77,1.0971975144444444,70.1787955097476,21.507689333333335,42.072312999999966
split_00,0,channel_union,esit,cusum,advisory,6.0,6.0,Position.Z,113,2,0.017699115044247787,27,1.4244670750000001,18.954457055457038,2.486760500000008,3.051936000000012
split_00,0,channel_union,esit,cusum,advisory,6.0,6.0,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,18.501068000000032,23.99349600000005
