feature,category,auc,separation,q99_abs_ratio,n_pos,n_neg,pos_nonnull_frac,neg_nonnull_frac
gps_step_m,gps_jamming,0.15993569660060314,0.8400643033993969,0.08894734694464435,1105,25065,0.9990958408679927,0.9997606796697379
gps_step_m,gps_spoofing,0.5508710366277699,0.5508710366277699,1.0005463846629339,24263,25065,0.9997527710247641,0.9997606796697379
gps_step_m,ping_dos,0.5297988100022629,0.5297988100022629,0.9907504854331628,29194,25065,0.9997945205479452,0.9997606796697379
gps_speed_calc_mps,gps_jamming,0.16001928018825262,0.8399807198117474,0.08898725522232266,1105,25065,0.9990958408679927,0.9997606796697379
gps_speed_calc_mps,gps_spoofing,0.5507349834912597,0.5507349834912597,0.9970100549855535,24263,25065,0.9997527710247641,0.9997606796697379
gps_speed_calc_mps,ping_dos,0.5288305663205377,0.5288305663205377,0.9893907177910229,29194,25065,0.9997945205479452,0.9997606796697379
log_gps_speed,gps_jamming,0.16001928018825262,0.8399807198117474,0.3216950837235268,1105,25065,0.9990958408679927,0.9997606796697379
log_gps_speed,gps_spoofing,0.5507349834912597,0.5507349834912597,0.9990290091152161,24263,25065,0.9997527710247641,0.9997606796697379
log_gps_speed,ping_dos,0.5288305663205377,0.5288305663205377,0.9965421355402097,29194,25065,0.9997945205479452,0.9997606796697379
gps_accel_mps2,gps_jamming,0.46185169666254305,0.538148303337457,1.3545659228063658,1104,25059,0.9981916817359855,0.9995213593394758
gps_accel_mps2,gps_spoofing,0.5079161646996413,0.5079161646996413,1.0609485861952226,24257,25059,0.9995055420495282,0.9995213593394758
gps_accel_mps2,ping_dos,0.51350885912262,0.51350885912262,0.9642301390060835,29188,25059,0.9995890410958904,0.9995213593394758
vertical_rate_calc,gps_jamming,0.48586509464532485,0.5141349053546751,0.16051389475920913,1105,25065,0.9990958408679927,0.9997606796697379
vertical_rate_calc,gps_spoofing,0.4992187579325859,0.500781242067414,0.9885354293050646,24263,25065,0.9997527710247641,0.9997606796697379
vertical_rate_calc,ping_dos,0.49334126967630276,0.5066587303236972,0.9878266915948736,29194,25065,0.9997945205479452,0.9997606796697379
dist_from_start_m,gps_jamming,0.16707015006856116,0.8329298499314388,0.020052624087555416,1106,25071,1.0,1.0
dist_from_start_m,gps_spoofing,0.5619090692565382,0.5619090692565382,251.0366726099987,24269,25071,1.0,1.0
dist_from_start_m,ping_dos,0.5755761691590404,0.5755761691590404,1.002522160953005,29200,25071,1.0,1.0
gps_speed_residual,gps_jamming,0.5405873305605929,0.5405873305605929,2.8180073888709662,443,24328,0.40054249547920434,0.9703641657692155
gps_speed_residual,gps_spoofing,0.569419275822208,0.569419275822208,1.1560472241555937,16371,24328,0.6745642589311467,0.9703641657692155
gps_speed_residual,ping_dos,0.5154111539205565,0.5154111539205565,0.9340189362605164,29194,24328,0.9997945205479452,0.9703641657692155
vel_m_s,gps_jamming,0.14430269218836655,0.8556973078116334,0.10806636155606407,444,24334,0.4014466546112116,0.9706034860994774
vel_m_s,gps_spoofing,0.580073543919342,0.580073543919342,1.0110125858123569,16376,24334,0.6747702830771767,0.9706034860994774
vel_m_s,ping_dos,0.5175661597561786,0.5175661597561786,0.988558295194508,29200,24334,1.0,0.9706034860994774
vertical_rate_residual,gps_jamming,0.7653633042178266,0.7653633042178266,8.332681211559228,443,24328,0.40054249547920434,0.9703641657692155
vertical_rate_residual,gps_spoofing,0.5123372649212016,0.5123372649212016,1.1097905920850872,16371,24328,0.6745642589311467,0.9703641657692155
vertical_rate_residual,ping_dos,0.4889281156376319,0.5110718843623681,0.8565528795587132,29194,24328,0.9997945205479452,0.9703641657692155
course_change_deg,gps_jamming,0.4894319408686986,0.5105680591313013,0.0,223,24082,0.20162748643761302,0.9605520322284712
course_change_deg,gps_spoofing,0.49616250063591627,0.5038374993640837,0.7331384982389837,16235,24082,0.6689604021591331,0.9605520322284712
course_change_deg,ping_dos,0.49776765279087415,0.5022323472091259,0.442565063804934,29194,24082,0.9997945205479452,0.9605520322284712
roll_deg,gps_jamming,0.34306655896530525,0.6569334410346948,0.14203303526629457,1106,25071,1.0,1.0
roll_deg,gps_spoofing,0.5334413954673232,0.5334413954673232,1.0118789158181263,24269,25071,1.0,1.0
roll_deg,ping_dos,0.5577847010874658,0.5577847010874658,1.0125389340431863,18675,25071,0.639554794520548,1.0
roll_rate,gps_jamming,0.4965101956632213,0.5034898043367787,1.3435413841954156,1105,25065,0.9990958408679927,0.9997606796697379
roll_rate,gps_spoofing,0.5029996813543822,0.5029996813543822,1.1270588736624483,24263,25065,0.9997527710247641,0.9997606796697379
roll_rate,ping_dos,0.502361765787828,0.502361765787828,1.0238300390100945,18671,25065,0.639417808219178,0.9997606796697379
pitch_deg,gps_jamming,0.8035287559100689,0.8035287559100689,0.15321799504364092,1106,25071,1.0,1.0
pitch_deg,gps_spoofing,0.4843145972258186,0.5156854027741814,1.0019715153408488,24269,25071,1.0,1.0
pitch_deg,ping_dos,0.4032029176362691,0.596797082363731,1.0012327071415843,18675,25071,0.639554794520548,1.0
pitch_rate,gps_jamming,0.5088524045626168,0.5088524045626168,2.114101994435614,1105,25065,0.9990958408679927,0.9997606796697379
pitch_rate,gps_spoofing,0.49784662996186835,0.5021533700381317,0.9650318743511185,24263,25065,0.9997527710247641,0.9997606796697379
pitch_rate,ping_dos,0.4948734960144276,0.5051265039855724,0.9234003160262008,18671,25065,0.639417808219178,0.9997606796697379
yaw_deg,gps_jamming,0.15128128339746585,0.8487187166025342,0.8557162790950981,1106,25071,1.0,1.0
yaw_deg,gps_spoofing,0.4799553889312094,0.5200446110687906,0.9999995647460179,24269,25071,1.0,1.0
yaw_deg,ping_dos,0.4850993320869667,0.5149006679130332,1.0000029319483958,18675,25071,0.639554794520548,1.0
yaw_rate,gps_jamming,0.512481015423248,0.512481015423248,1.0941896151679,1105,25065,0.9990958408679927,0.9997606796697379
yaw_rate,gps_spoofing,0.49352742096530966,0.5064725790346903,1.0188561346282385,24263,25065,0.9997527710247641,0.9997606796697379
yaw_rate,ping_dos,0.5002169251489162,0.5002169251489162,1.0346770033402584,18671,25065,0.639417808219178,0.9997606796697379
eph,gps_jamming,0.9508595588528579,0.9508595588528579,0.9516968735248219,1106,25071,1.0,1.0
eph,gps_spoofing,0.5469857224420386,0.5469857224420386,0.9675661821525762,24269,25071,1.0,1.0
eph,ping_dos,0.43251862586965345,0.5674813741303466,0.38719937030559526,29200,25071,1.0,1.0
eph_delta,gps_jamming,0.5985285858577652,0.5985285858577652,0.9174575321815613,1105,25065,0.9990958408679927,0.9997606796697379
eph_delta,gps_spoofing,0.5068865988203165,0.5068865988203165,1.0498433110328806,24263,25065,0.9997527710247641,0.9997606796697379
eph_delta,ping_dos,0.5039163968024439,0.5039163968024439,0.9909424315631296,29194,25065,0.9997945205479452,0.9997606796697379
epv,gps_jamming,1.0,1.0,1.0497255765698927,1106,25071,1.0,1.0
epv,gps_spoofing,0.6292474569798927,0.6292474569798927,0.9413044606717254,24269,25071,1.0,1.0
epv,ping_dos,0.38700878750922724,0.6129912124907728,0.24469911957530802,29200,25071,1.0,1.0
epv_delta,gps_jamming,0.4512005617972457,0.5487994382027543,0.9453190654939672,1105,25065,0.9990958408679927,0.9997606796697379
epv_delta,gps_spoofing,0.49291966757098815,0.5070803324290118,1.0710964199674546,24263,25065,0.9997527710247641,0.9997606796697379
epv_delta,ping_dos,0.49837686999756653,0.5016231300024334,0.7743903720097117,29194,25065,0.9997945205479452,0.9997606796697379
raw_gps_eph,gps_jamming,0.9843811202506855,0.9843811202506855,2.7559719344520213,444,24334,0.4014466546112116,0.9706034860994774
raw_gps_eph,gps_spoofing,0.49823960653780563,0.5017603934621944,0.9741682595659799,16376,24334,0.6747702830771767,0.9706034860994774
raw_gps_eph,ping_dos,0.4898290457795677,0.5101709542204322,0.4813083810792014,29200,24334,1.0,0.9706034860994774
raw_gps_eph_delta,gps_jamming,0.4977578475336323,0.5022421524663677,0.0,223,24082,0.20162748643761302,0.9605520322284712
raw_gps_eph_delta,gps_spoofing,0.5,0.5,0.0,16235,24082,0.6689604021591331,0.9605520322284712
raw_gps_eph_delta,ping_dos,0.5,0.5,0.0,29194,24082,0.9997945205479452,0.9605520322284712
raw_gps_epv,gps_jamming,0.9839265788349375,0.9839265788349375,2.965319229429677,444,24334,0.4014466546112116,0.9706034860994774
raw_gps_epv,gps_spoofing,0.49815810459824117,0.5018418954017588,0.9286520167160426,16376,24334,0.6747702830771767,0.9706034860994774
raw_gps_epv,ping_dos,0.4898290457795677,0.5101709542204322,0.31522471714733286,29200,24334,1.0,0.9706034860994774
raw_gps_epv_delta,gps_jamming,0.5000207623951499,0.5000207623951499,0.0,223,24082,0.20162748643761302,0.9605520322284712
raw_gps_epv_delta,gps_spoofing,0.5000207623951499,0.5000207623951499,0.0,16235,24082,0.6689604021591331,0.9605520322284712
raw_gps_epv_delta,ping_dos,0.5000207623951499,0.5000207623951499,0.0,29194,24082,0.9997945205479452,0.9605520322284712
hdop,gps_jamming,0.9818719331643635,0.9818719331643635,1.6493506493506493,444,24334,0.4014466546112116,0.9706034860994774
hdop,gps_spoofing,0.4983925901803227,0.5016074098196772,1.0909090909090908,16376,24334,0.6747702830771767,0.9706034860994774
hdop,ping_dos,0.4898290457795677,0.5101709542204322,0.0,29200,24334,1.0,0.9706034860994774
hdop_delta,gps_jamming,0.5,0.5,0.0,223,24082,0.20162748643761302,0.9605520322284712
hdop_delta,gps_spoofing,0.5,0.5,0.0,16235,24082,0.6689604021591331,0.9605520322284712
hdop_delta,ping_dos,0.5,0.5,0.0,29194,24082,0.9997945205479452,0.9605520322284712
vdop,gps_jamming,0.9832375936386786,0.9832375936386786,1.4179105535754144,444,24334,0.4014466546112116,0.9706034860994774
vdop,gps_spoofing,0.49813511301100394,0.5018648869889961,0.9701493261305467,16376,24334,0.6747702830771767,0.9706034860994774
vdop,ping_dos,0.4898290457795677,0.5101709542204322,0.0,29200,24334,1.0,0.9706034860994774
vdop_delta,gps_jamming,0.5,0.5,0.0,223,24082,0.20162748643761302,0.9605520322284712
vdop_delta,gps_spoofing,0.5,0.5,0.0,16235,24082,0.6689604021591331,0.9605520322284712
vdop_delta,ping_dos,0.5,0.5,0.0,29194,24082,0.9997945205479452,0.9605520322284712
satellites_used,gps_jamming,0.9829623327609684,0.9829623327609684,1.1666666666666667,444,24334,0.4014466546112116,0.9706034860994774
satellites_used,gps_spoofing,0.49668117492200325,0.5033188250779967,0.9166666666666666,16376,24334,0.6747702830771767,0.9706034860994774
satellites_used,ping_dos,0.4898290457795677,0.5101709542204322,0.8333333333333334,29200,24334,1.0,0.9706034860994774
satellites_used_delta,gps_jamming,0.5,0.5,0.0,223,24082,0.20162748643761302,0.9605520322284712
satellites_used_delta,gps_spoofing,0.5,0.5,0.0,16235,24082,0.6689604021591331,0.9605520322284712
satellites_used_delta,ping_dos,0.5,0.5,0.0,29194,24082,0.9997945205479452,0.9605520322284712
s_variance_m_s,gps_jamming,0.8761384360443291,0.8761384360443291,4.008797712093976,444,24334,0.4014466546112116,0.9706034860994774
s_variance_m_s,gps_spoofing,0.4987535545867158,0.5012464454132842,0.9208210603624011,16376,24334,0.6747702830771767,0.9706034860994774
s_variance_m_s,ping_dos,0.49110298347990466,0.5088970165200953,0.7331377869127398,29200,24334,1.0,0.9706034860994774
s_variance_m_s_delta,gps_jamming,0.4977785168238712,0.5022214831761288,0.0,223,24082,0.20162748643761302,0.9605520322284712
s_variance_m_s_delta,gps_spoofing,0.5000207623951499,0.5000207623951499,0.0,16235,24082,0.6689604021591331,0.9605520322284712
s_variance_m_s_delta,ping_dos,0.5000207623951499,0.5000207623951499,0.0,29194,24082,0.9997945205479452,0.9605520322284712
jamming_indicator,gps_jamming,0.9907052713105972,0.9907052713105972,2.28,444,24334,0.4014466546112116,0.9706034860994774
jamming_indicator,gps_spoofing,0.4982341008029881,0.501765899197012,0.92,16376,24334,0.6747702830771767,0.9706034860994774
jamming_indicator,ping_dos,0.4898290457795677,0.5101709542204322,0.0,29200,24334,1.0,0.9706034860994774
jamming_indicator_delta,gps_jamming,0.4977578475336323,0.5022421524663677,0.0,223,24082,0.20162748643761302,0.9605520322284712
jamming_indicator_delta,gps_spoofing,0.5,0.5,0.0,16235,24082,0.6689604021591331,0.9605520322284712
jamming_indicator_delta,ping_dos,0.5,0.5,0.0,29194,24082,0.9997945205479452,0.9605520322284712
noise_per_ms,gps_jamming,0.9947398701405441,0.9947398701405441,1.61,444,24334,0.4014466546112116,0.9706034860994774
noise_per_ms,gps_spoofing,0.4983214798760725,0.5016785201239276,1.02,16376,24334,0.6747702830771767,0.9706034860994774
noise_per_ms,ping_dos,0.4898290457795677,0.5101709542204322,0.0,29200,24334,1.0,0.9706034860994774
noise_per_ms_delta,gps_jamming,0.5,0.5,0.0,223,24082,0.20162748643761302,0.9605520322284712
noise_per_ms_delta,gps_spoofing,0.5,0.5,0.0,16235,24082,0.6689604021591331,0.9605520322284712
noise_per_ms_delta,ping_dos,0.5,0.5,0.0,29194,24082,0.9997945205479452,0.9605520322284712
battery_power_w,gps_jamming,0.5109467837768018,0.5109467837768018,1.0074458164735525,1106,1232,1.0,0.04914044114714212
battery_power_w,gps_spoofing,0.45646890627673936,0.5435310937232607,1.0866415947399342,683,1232,0.028142898347686348,0.04914044114714212
battery_power_w,ping_dos,,,,0,1232,0.0,0.04914044114714212
voltage_delta,gps_jamming,0.4902606059499242,0.5097393940500758,2.2199995428318875,1105,16105,0.9990958408679927,0.6423756531450681
voltage_delta,gps_spoofing,0.49999358747879874,0.5000064125212013,0.7491643728891502,15304,16105,0.6305987061683629,0.6423756531450681
voltage_delta,ping_dos,0.5006759519504123,0.5006759519504123,0.02577094734756797,18762,16105,0.6425342465753424,0.6423756531450681
remaining_delta,gps_jamming,0.4954167292976943,0.5045832707023057,1.9623495684266907,1105,16105,0.9990958408679927,0.6423756531450681
remaining_delta,gps_spoofing,0.5008878207619787,0.5008878207619787,1.0,15304,16105,0.6305987061683629,0.6423756531450681
remaining_delta,ping_dos,0.500662053777045,0.500662053777045,0.9207584499077356,18762,16105,0.6425342465753424,0.6423756531450681
jamming_1s_mean,gps_jamming,0.9775872507611836,0.9775872507611836,1.7272727272727273,1106,25071,1.0,1.0
jamming_1s_mean,gps_spoofing,0.4958227832193938,0.5041772167806062,0.9419696969696705,16784,25071,0.6915818533932176,1.0
jamming_1s_mean,ping_dos,0.47542977942642894,0.524570220573571,0.0,29200,25071,1.0,1.0
jamming_5s_max,gps_jamming,0.9741119848923813,0.9741119848923813,1.3043478260869565,1106,25071,1.0,1.0
jamming_5s_max,gps_spoofing,0.4958013807041577,0.5041986192958423,0.9782608695652174,16784,25071,0.6915818533932176,1.0
jamming_5s_max,ping_dos,0.47542977942642894,0.524570220573571,0.0,29200,25071,1.0,1.0
noise_5s_mean,gps_jamming,0.987136928951795,0.987136928951795,1.5890410958904109,1106,25071,1.0,1.0
noise_5s_mean,gps_spoofing,0.49638666558755784,0.5036133344124422,1.0637671232876695,16784,25071,0.6915818533932176,1.0
noise_5s_mean,ping_dos,0.47542977942642894,0.524570220573571,0.0,29200,25071,1.0,1.0
noise_5s_std,gps_jamming,0.7033499327088936,0.7033499327088936,26.186146828318382,1105,25065,0.9990958408679927,0.9997606796697379
noise_5s_std,gps_spoofing,0.5018253821427897,0.5018253821427897,6.1245966058020045,16779,25065,0.6913758292471878,0.9997606796697379
noise_5s_std,ping_dos,0.4908039098344305,0.5091960901655694,0.0,29194,25065,0.9997945205479452,0.9997606796697379
hdop_5s_max,gps_jamming,0.9591181298277449,0.9591181298277449,5.402597402597403,1106,25071,1.0,1.0
hdop_5s_max,gps_spoofing,0.4966964661638354,0.5033035338361647,1.0909090909090908,16784,25071,0.6915818533932176,1.0
hdop_5s_max,ping_dos,0.47542977942642894,0.524570220573571,0.0,29200,25071,1.0,1.0
sats_5s_min,gps_jamming,0.9607523674356149,0.9607523674356149,1.1666666666666667,1106,25071,1.0,1.0
sats_5s_min,gps_spoofing,0.48987470555025064,0.5101252944497494,0.9166666666666666,16784,25071,0.6915818533932176,1.0
sats_5s_min,ping_dos,0.47542977942642894,0.524570220573571,0.8333333333333334,29200,25071,1.0,1.0
gps_step_5s_max,gps_jamming,0.16622905333011997,0.83377094666988,0.1190080384781449,1105,25065,0.9990958408679927,0.9997606796697379
gps_step_5s_max,gps_spoofing,0.5642352773610029,0.5642352773610029,21583.35862137389,24263,25065,0.9997527710247641,0.9997606796697379
gps_step_5s_max,ping_dos,0.5360951503483558,0.5360951503483558,0.9933605522912656,29194,25065,0.9997945205479452,0.9997606796697379
gps_step_5s_rms,gps_jamming,0.1650227778815803,0.8349772221184197,0.06627936943599774,1105,25065,0.9990958408679927,0.9997606796697379
gps_step_5s_rms,gps_spoofing,0.5549938588964328,0.5549938588964328,4536.879851050157,24263,25065,0.9997527710247641,0.9997606796697379
gps_step_5s_rms,ping_dos,0.5299137239409637,0.5299137239409637,0.9961535468800202,29194,25065,0.9997945205479452,0.9997606796697379
gps_speed_residual_cusum_pos,gps_jamming,0.5846668878107694,0.5846668878107694,0.09579719976729287,1106,25071,1.0,1.0
gps_speed_residual_cusum_pos,gps_spoofing,0.5232527006383169,0.5232527006383169,2723.5321663947,24269,25071,1.0,1.0
gps_speed_residual_cusum_pos,ping_dos,0.4717792995290635,0.5282207004709365,1.0804231043488626,29200,25071,1.0,1.0
hdop_cusum_pos,gps_jamming,0.9706999210848785,0.9706999210848785,1.0579359710763947,1106,25071,1.0,1.0
hdop_cusum_pos,gps_spoofing,0.4892402646819676,0.5107597353180324,0.4986986223995708,24269,25071,1.0,1.0
hdop_cusum_pos,ping_dos,0.4754497227872841,0.524550277212716,0.0,29200,25071,1.0,1.0
noise_per_ms_cusum_pos,gps_jamming,0.9734162933868176,0.9734162933868176,1.275974636753196,1106,25071,1.0,1.0
noise_per_ms_cusum_pos,gps_spoofing,0.4892069734283121,0.5107930265716879,0.4704061576865174,24269,25071,1.0,1.0
noise_per_ms_cusum_pos,ping_dos,0.4754497227872841,0.524550277212716,0.0,29200,25071,1.0,1.0
gps_frozen_count,gps_jamming,0.5,0.5,0.0,1106,25071,1.0,1.0
gps_frozen_count,gps_spoofing,0.5,0.5,0.0,24269,25071,1.0,1.0
gps_frozen_count,ping_dos,0.5,0.5,0.0,29200,25071,1.0,1.0
attitude_missing,gps_jamming,0.5,0.5,0.0,1106,25071,1.0,1.0
attitude_missing,gps_spoofing,0.5,0.5,0.0,24269,25071,1.0,1.0
attitude_missing,ping_dos,0.680222602739726,0.680222602739726,4503599627370496.0,29200,25071,1.0,1.0
battery_missing,gps_jamming,0.41063380000797733,0.5893661999920227,0.0,1106,25071,1.0,1.0
battery_missing,gps_spoofing,0.5029532198439821,0.5029532198439821,1.0,24269,25071,1.0,1.0
battery_missing,ping_dos,0.5000002383641418,0.5000002383641418,1.0,29200,25071,1.0,1.0
gps_health_missing,gps_jamming,0.784578415744133,0.784578415744133,1.0,1106,25071,1.0,1.0
gps_health_missing,gps_spoofing,0.6479166015111504,0.6479166015111504,1.0,24269,25071,1.0,1.0
gps_health_missing,ping_dos,0.4853017430497387,0.5146982569502613,0.0,29200,25071,1.0,1.0
num_missing_groups,gps_jamming,0.6952122157521103,0.6952122157521103,1.0,1106,25071,1.0,1.0
num_missing_groups,gps_spoofing,0.629367367782671,0.629367367782671,2.0,24269,25071,1.0,1.0
num_missing_groups,ping_dos,0.6400328437101646,0.6400328437101646,2.0,29200,25071,1.0,1.0
attitude_stale_count,gps_jamming,0.5,0.5,0.0,1106,25071,1.0,1.0
attitude_stale_count,gps_spoofing,0.5,0.5,0.0,24269,25071,1.0,1.0
attitude_stale_count,ping_dos,0.6801883561643836,0.6801883561643836,3.1854005200387785e+19,29200,25071,1.0,1.0
attitude_stale_s,gps_jamming,0.5,0.5,0.0,1106,25071,1.0,1.0
attitude_stale_s,gps_spoofing,0.5,0.5,0.0,24269,25071,1.0,1.0
attitude_stale_s,ping_dos,0.6801883561643836,0.6801883561643836,6.3708010400781e+18,29200,25071,1.0,1.0
is_moving,gps_jamming,0.11318600202549534,0.8868139979745047,1.0,1106,25071,1.0,1.0
is_moving,gps_spoofing,0.4050909221428926,0.5949090778571073,1.0,24269,25071,1.0,1.0
is_moving,ping_dos,0.5691716593367986,0.5691716593367986,1.0,29200,25071,1.0,1.0
